,img,objects
0,covid_memes_3752.png,
1,covid_memes_3761.png,dog person tv book person book book
2,covid_memes_2761.png,person umbrella
3,covid_memes_4049.png,person person person
4,covid_memes_2487.png,person tie
5,covid_memes_4514.png,person person person
6,covid_memes_4733.png,cup person tv chair person chair
7,covid_memes_3932.png,person person chair laptop person person tv person laptop
8,covid_memes_5495.png,person person dog cat person
9,covid_memes_481.png,person person person bench person person person person person person cup person
10,covid_memes_2832.png,laptop person person tie cup baseball bat keyboard
11,covid_memes_760.png,toilet
12,covid_memes_529.png,person dog tie
13,covid_memes_2849.png,sports ball
14,covid_memes_4741.png,person tie person person person
15,covid_memes_828.png,person tie chair chair
16,covid_memes_4821.png,person person person person tie tie
17,covid_memes_334.png,person person person person
18,covid_memes_3017.png,person person cell phone person person chair person
19,covid_memes_2914.png,person person person chair
20,covid_memes_2448.png,person person suitcase backpack
21,covid_memes_3432.png,person person person tie
22,covid_memes_4638.png,person
23,covid_memes_4748.png,person tie
24,covid_memes_451.png,
25,covid_memes_4239.png,person
26,covid_memes_3240.png,person person person person person car
27,covid_memes_2782.png,person cell phone person
28,covid_memes_4019.png,person person person person person person
29,covid_memes_620.png,person tie
30,covid_memes_4311.png,bottle person
31,covid_memes_5639.png,person wine glass person wine glass
32,covid_memes_3035.png,person potted plant
33,covid_memes_3313.png,person
34,covid_memes_2645.png,car
35,covid_memes_5649.png,person person person person person person person person
36,covid_memes_85.png,person
37,covid_memes_3860.png,person car handbag
38,covid_memes_585.png,person tv person
39,covid_memes_4410.png,person person cat person person teddy bear person broccoli
40,covid_memes_2967.png,person person
41,covid_memes_365.png,person
42,covid_memes_875.png,person person person person person
43,covid_memes_2706.png,person cell phone cell phone person cell phone
44,covid_memes_5021.png,person
45,covid_memes_3283.png,person person person dining table person person dog person keyboard person
46,covid_memes_4843.png,person
47,covid_memes_2757.png,cat person person cat
48,covid_memes_4022.png,umbrella sports ball
49,covid_memes_3498.png,person person
50,covid_memes_2921.png,person keyboard tv
51,covid_memes_2375.png,person cell phone
52,covid_memes_4484.png,person teddy bear person teddy bear teddy bear umbrella umbrella teddy bear person
53,covid_memes_3893.png,person
54,covid_memes_332.png,tie person
55,covid_memes_5089.png,person person person person potted plant vase couch chair
56,covid_memes_2440.png,person
57,covid_memes_2874.png,person person person person person person tv tv person laptop chair
